city,inhabitant
Aarhus,Aarhusian
Abidjan,Abidjanais
Adelaide,Adelaidean
Albuquerque,Albuquerquean
Amalfi,Amalfitan
Amman,Ammani
Ammon,Ammonite
Amsterdam,Amsterdammer
Anchorage,Anchorageite
Andong,Andongite
Antakya,Antakyan
Antalya,Antalyan
Aosta,Aostan
Aqaba,Aqabawi
Arlington,Arlingtonian
Ashdod,Ashdodi
Ashkelon,Ashkelonian
Asmara,Asmaran
Atlanta,Atlantan
Auckland,Aucklander
Austin,Austinite
Bacolod,Bacolodnon
Baku,Bakuvian
Baltimore,Baltimorean
Bandung,Bandungite
Bangalore,Bangalorean
Bangkok,Bangkokian
Barisal,Barisali
Bath,Bathonian
Baton Rouge,Baton Rougean
Bedford,Bedfordian
Beersheba,Beersheban
Beijing,Beijinger
Beirut,Beiruti
Belfast,Belfastie
Bergen,Bergenese
Berlin,Berliner
Bern,Bernese
Bhopal,Bhopali
Birmingham,Birminghamian
Blackburn,Blackburnian
Bnei Brak,Bnei Brakian
Bodrum,Bodrumite
Boise,Boisean
Bolton,Boltonian
Bossangoa,Bossangoan
Boston,Bostonian
Bradford,Bradfordian
Bratislava,Bratislavan
Brescia,Brescian
Brighton,Brightonian
Bristol,Bristolian
Brooklyn,Brooklynite
Bucharest,Bucharester
Budapest,Budapester
Buffalo,Buffalonian
Burlington,Burlingtonian
Bursa,Bursanese
Busan,Busanian
Calais,Calaisiens
Cairns,Cairnsite
Canberra,Canberran
Cardiff,Cardiffian
Casper,Casperite
Cebu,Cebuano
Changwon,Changwonian
Charleston,Charlestonian
Charlotte,Charlottean
Chelmsford,Chelmsfordian
Chennai,Chennaite
Cheyenne,Cheyenneite
Chicago,Chicagoan
Chilliwack,Chilliwackian
Cincinnati,Cincinnatian
Cleveland,Clevelander
Coimbatore,Coimbatoreian
Columbus,Columbusite
Copenhagen,Copenhagener
Corinth,Corinthian
Cork,Corkonian
Curitiba,Curitibano
Daegu,Daeguite
Dalaman,Dalamanian
Dallas,Dallasite
Dakar,Dakarois
Darwin,Darwinian[e]
Davao,Davaoeño
Delhi,Delhiite
Denizli,Denizlian
Denver,Denverite
Detroit,Detroiter
Devonport,Devonportian
Dhaka,Dhakai
Dresden,Dresdener
Dublin,Dubliner
Dubai,Dubaite
Duluth,Duluthian
Dunedin,Dunedinite
Durban,Durbanite
Edmonton,Edmontonian
Eilat,Eilatian
El Paso,El Pasoan
Erzurum,Erzurumian
Eugene,Eugenean
Everett,Everettite
Fargo,Fargoan
Fethiye,Fethiyennese
Frankfurt,Frankfurter
Fredericton,Frederictonian
Gaza,Gazan
Geelong,Geelongite
Geneva,Genevan
Germiston,Germistonian
Ghent,Ghentian
Gold Coast,Gold Coaster
Gosford,Gosfordian
Gothenburg,Gothenburger
Graz,Grazer
Guayaquil,Guayaquilean
Guelph,Guelphite[4]
Gumi,Gumite
Gwangju,Gwangjuite
Gyeongju,Gyeongjuite
Haifa,Haifan
Hamburg,Hamburger
Hamilton,Hamiltonian
Hanoi,Hanoian
Hanover,Hanoverian
Harbin,Harbinite
Harrisburg,Harrisburger
Hatay,Hatayan (see also
Havana,Havanan; Habanero (m)
Helsinki,Helsinkian
Hobart,Hobartian
Holon,Holonian
Houston,Houstonian
Hyderabad,Hyderabadi
Incheon,Incheoner
Invercargill,Invercargillite
Inverness,Invernessian
Ipoh,Ipohian
Islamabad,Islamabadian
Itabira,Itabirano (m)
Istanbul,Istanbulite
Ithaca,Ithacan
Izmir,Izmirite
Izmit,Izmitite
Jakarta,Jakartanais
Jeonju,Jeonjuite
Jerusalem,Jerusalemite
Johannesburg,Johannesburger
Joshua,Joshuan
Juba,Juban
Karachi,Karachiite
Karpasia,Karpasias
Kastoria,Kastorian
Kayseri,Kayserian
Kenosha,Kenoshan
Khulna,Khulnaiya
Kingston,Kingstonian
Kitchener,Kitchenerite
Kocaeli,Kocaelian (see also
Konya,Konyanite
Kuching,Kuchingite
Lagos,Lagosian
Larnaka,Larnakade
Laval,Lavalois
Leipzig,Leipziger
Lexington,Lexingtonian
Ligao,Ligaoeño
Limerick,Limerickman
Linz,Linzer
London,Londoner
Luanda,Luandan
Luton,Lutonian
Lviv,Lvivite
Lyon,Lyonese
Mackay,Mackayite
Malacca,Malaccan
Malatya,Malatyan
Manisa,Manisanian
Mantua,Mantuan
Marathon,Marathonian
Mardin,Mardinian
